	ERR990557	ERR990558	ERR990559	ERR990560
CG9689-PA	0	1	2	2
CG9689-PB	0	1	2	2
CG9691-PB	22	22	34	42
CG9691-PA	22	22	34	42
CG1986-PA	0	0	0	0
CG1986-PB	0	0	0	0
CG15249-PD	1	0	0	1
CG15249-PB	1	0	0	1
CG15247-PA	13	8	22	19
CG32695-PA	2	2	9	6
CG32695-PB	2	2	9	6
CG32695-PC	2	2	9	6
DIP1-PC	0	0	0	43
DIP1-PB	106	21	20	37
DIP1-PD	0	80	1	22
DIP1-PE	0	0	33	2
DIP1-PF	0	0	0	0
DIP1-PG	0	0	33	2
DIP1-PH	0	2	0	25
DIP1-PI	0	0	33	2
CG33502-PA	45	47	20	22
CG32819-PB	1	0	0	0
CG32819-PA	3	2	0	0
CG17450-PB	0	2	5	0
CG17450-PA	1	0	0	0
CG17450-PC	1	0	0	0
CG32820-PA	3	2	0	0
CG32820-PB	1	0	0	0
GCS2alpha-PB	197	204	205	276
GCS2alpha-PA	197	204	205	276
GCS2alpha-PD	197	204	205	276
GCS2alpha-PE	197	204	205	276
GCS2alpha-PC	197	204	205	276
ND-MLRQ-PA	96	159	121	129
ND-MLRQ-PB	96	159	121	129
ND-MLRQ-PC	96	159	121	129
alpha-Cat-PA	1319	1365	1392	1862
alpha-Cat-PB	237	153	151	234
Tusp-PD	4	9	5	4
Tusp-PE	4	9	5	4
Tusp-PF	2	4	2	2
Tusp-PG	18	0	28	21
Mtl-PB	9	14	13	18
Mtl-PA	9	14	13	18
Mtl-PC	9	14	13	18
RpS10a-PA	50	43	122	196
unc80-PC	0	0	0	0
unc80-PD	9	5	16	11
unc80-PE	0	0	0	0
unc80-PF	0	0	0	0
unc80-PG	0	0	0	0
CG5590-PA	143	178	180	308
CG12883-PA	9	28	7	8
CG12880-PA	30	16	52	55
btz-PB	155	81	153	138
btz-PA	1	0	0	0
btz-PC	1	0	0	0
btz-PD	47	107	0	58
CG12428-PD	16	19	11	15
CG12428-PE	16	19	11	15
CG12428-PA	16	19	11	15
CG12428-PB	16	19	11	15
CG12428-PF	16	19	11	15
CG12428-PG	16	19	11	15
CG31055-PA	2	0	3	13
CG31055-PC	0	0	0	0
CG31055-PB	0	0	0	0
Sce-PA	57	51	17	50
Mlc1-PB	314	233	831	563
Mlc1-PA	45	233	6	198
Mlc1-PD	314	233	831	563
CG5611-PA	26	30	29	39
CG5611-PC	26	30	29	39
CG5612-PA	120	171	654	548
HIP-PA	355	98	1	86
Crg-1-PB	1	0	2	2
CG2901-PA	5	2	2	1
CG15625-PA	1	0	0	3
CG3036-PA	36	37	18	21
CG3036-PB	36	37	18	21
Sgs1-PA	0	0	0	1
CG14044-PA	2	0	0	4
ND-49L-PB	2	1	0	4
CG31437-PA	3	1	3	2
alrm-PA	4	2	11	10
Arpc2-PA	276	390	190	264
Arpc2-PB	276	390	190	264
CG31687-PC	7	9	5	0
CG31687-PB	7	9	5	0
Cdc23-PA	103	101	56	85
Cdc23-PB	103	101	56	85
CG2493-PA	129	142	159	138
CG2493-PB	129	142	159	138
CG18858-PA	106	98	111	175
CG18858-PB	106	98	111	175
CG31683-PA	0	0	0	0
CG31683-PB	0	0	0	0
CG15130-PB	6	4	1	5
CG15130-PC	0	0	1	0
CG10949-PA	48	60	34	47
CG10949-PB	48	60	34	47
Cyp28d2-PA	0	2	3	7
TpnC25D-PA	6	2	20	0
TpnC25D-PC	6	2	20	0
TpnC25D-PB	0	0	0	20
CG7742-PA	0	0	0	0
CG7742-PD	0	0	0	0
CG7742-PB	0	2	1	2
CG7742-PC	0	0	0	0
CG11883-PA	134	101	52	69
CG11883-PB	5	0	0	0
CG11883-PC	13	10	0	18
CG11883-PD	13	10	0	18
Elp2-PA	732	901	164	269
CG12934-PA	1	2	0	0
CG12934-PB	1	2	0	0
Git-PA	198	150	92	150
CG17600-PA	45	65	25	17
CG17600-PB	17	11	13	18
CG17600-PC	17	11	13	18
CG17600-PD	0	0	0	0
CG17601-PA	2	0	0	0
CG17599-PA	4	1	0	1
CG17598-PA	69	61	69	97
CG17598-PB	69	61	69	97
dap-PA	109	112	44	111
hbs-PA	1	0	1	1
hbs-PB	0	0	0	0
hbs-PC	0	0	0	0
Obp51a-PA	0	0	0	0
Smyd4-3-PA	8	10	17	17
CG7763-PA	3	0	24	7
CG7763-PB	3	0	24	7
Drip-PA	17	8	22	15
Drip-PB	17	8	22	15
Drip-PC	0	0	0	0
Drip-PD	0	0	0	0
Drip-PE	0	0	0	0
Drip-PF	6	29	105	78
Drip-PG	0	0	0	0
CG30026-PB	78	73	373	242
d4-PA	133	346	93	194
d4-PC	152	22	123	0
d4-PB	0	0	0	0
d4-PD	79	21	0	128
CG10395-PD	104	94	84	78
CG10395-PE	104	94	84	78
COX4L-PA	4	0	2	17
COX4L-PB	0	4	0	0
CG10417-PA	670	700	417	507
CG10417-PB	670	700	417	507
CG30441-PB	2	12	19	10
CG10465-PA	286	369	207	299
Ptip-PA	533	433	352	442
dpy-PI	0	0	2	196
dpy-PJ	306	133	664	249
dpy-PM	18	0	28	0
dpy-PO	0	0	0	0
dpy-PP	0	0	0	0
dpy-PQ	0	0	0	0
dpy-PR	0	0	0	0
dpy-PS	0	0	60	10
dpy-PT	0	0	0	0
dpy-PU	0	0	0	0
dpy-PV	0	0	0	0
dpy-PW	0	0	0	5
dpy-PX	6	0	0	0
dpy-PY	0	0	0	0
dpy-PZ	0	0	3	25
dpy-PAA	35	38	107	0
Ir41a-PC	1	2	5	6
CG3107-PB	322	389	178	204
CG3107-PA	322	389	178	204
CG3107-PC	322	389	178	204
CG3107-PD	322	389	178	204
Atf6-PC	406	443	482	466
Atf6-PA	0	0	0	0
Atf6-PB	0	0	0	0
gus-PG	102	112	54	88
gus-PH	102	112	54	88
gus-PI	102	112	54	88
gus-PJ	102	112	54	88
gus-PK	102	112	54	88
gus-PL	102	112	54	88
gus-PM	102	112	54	88
TpnC41C-PA	5	4	3	4
TpnC41C-PB	5	4	3	4
Lamp1-PA	1481	1669	2615	2329
Or13a-PA	0	0	0	0
CG8931-PA	46	42	39	48
exd-PB	144	144	95	164
exd-PA	144	144	95	164
exd-PD	144	144	95	164
exd-PE	144	144	95	164
CG8939-PA	1446	1510	484	808
CG12698-PA	1	7	6	1
dpr18-PA	8	7	11	20
CG8958-PA	15	5	40	24
Tob-PA	17	35	69	43
Tob-PC	40	0	0	2
Tob-PE	0	0	0	0
Tob-PF	17	35	69	43
Nipsnap-PB	98	110	99	108
Nipsnap-PA	98	110	99	108
Nipsnap-PC	98	110	99	108
Nipsnap-PF	98	110	99	108
CG12395-PA	10	4	4	7
vap-PD	61	62	47	61
vap-PA	61	62	47	61
vap-PB	61	62	47	61
vap-PC	61	62	47	61
vap-PE	61	62	47	61
vap-PF	61	62	47	61
eIF5-PD	205	227	130	166
eIF5-PC	205	227	130	166
eIF5-PA	205	227	130	166
eIF5-PE	205	227	130	166
eIF5-PB	205	227	130	166
eIF5-PG	205	227	130	166
eIF5-PF	205	227	130	166
ND-20-PB	42	68	70	69
ND-20-PA	42	68	70	69
ND-20-PC	42	68	70	69
CG9170-PB	11	5	16	21
CG9170-PA	11	5	16	21
CG9170-PC	11	5	16	21
Ste:CG33236-PB	0	0	0	0
Ste:CG33237-PB	6	3	0	0
Ste:CG33238-PB	0	0	0	0
Ste:CG33239-PB	0	0	0	0
Ste:CG33240-PB	0	0	0	0
Ste:CG33241-PB	0	0	0	0
Ste:CG33242-PB	0	0	2	0
Ste:CG33243-PB	0	0	0	0
Ste:CG33244-PB	0	0	0	0
Ste:CG33245-PB	0	0	0	0
Ste:CG33246-PB	0	3	0	0
Ste:CG33247-PB	0	0	0	0
FKBP59-PA	1089	1170	390	510
FKBP59-PB	1089	1170	390	510
CG4537-PB	17	14	5	14
Bka-PA	182	217	45	65
Srp54-PA	550	522	526	373
yip2-PA	152	187	280	249
CG4598-PA	77	139	82	97
CG4598-PB	77	139	82	97
CG4594-PA	13	19	18	28
CG4594-PB	13	19	18	28
CG4592-PA	36	36	66	70
CG4592-PB	36	36	66	70
CG4619-PA	132	161	65	63
CG4619-PB	132	161	65	63
CG5853-PA	23	26	57	77
CG5853-PB	23	26	57	77
CG5853-PC	23	26	57	77
Apf-PA	52	59	36	47
CG31712-PA	96	0	132	33
CG31712-PB	25	88	0	83
Cpr30F-PA	0	0	0	0
TbCMF46-PA	0	2	0	4
CG5885-PA	63	52	53	56
CG5885-PB	63	52	53	56
CG13124-PA	9	6	20	23
CG13124-PB	9	6	20	23
CG13124-PD	27	22	59	51
CG13124-PE	9	6	20	23
CG13124-PF	9	6	20	23
CG13124-PG	9	6	20	23
CG13124-PH	9	6	20	23
CG13124-PI	27	22	59	51
CG13124-PJ	27	22	59	51
Muc30E-PC	0	0	10	4
RpS2-PA	962	1250	566	910
RpS2-PB	962	1250	566	910
RpS2-PC	962	1250	566	910
mtDNA-helicase-PA	120	126	52	84
CG9572-PA	0	0	0	0
CG9572-PD	3	0	8	0
CG9572-PB	0	6	0	7
CG9577-PA	35	28	28	30
CG9578-PA	92	101	60	115
obst-A-PA	9	2	1	3
obst-A-PB	9	2	1	3
Peritrophin-A-PA	0	0	0	4
Peritrophin-A-PB	0	0	0	4
Peritrophin-A-PC	2	1	0	0
Rab10-PA	255	265	163	237
CG17065-PA	4	5	5	9
CG17065-PB	0	0	0	0
CG17065-PD	4	5	5	9
CG17068-PA	16	47	18	15
sw-PE	0	28	25	124
sw-PK	0	5	0	0
sw-PJ	4	0	0	0
sw-PC	18	10	14	0
sw-PA	120	91	98	103
sw-PH	0	6	0	0
sw-PI	45	15	0	0
sw-PM	7	11	0	0
sw-PB	0	28	41	0
sw-PL	7	11	0	0
sw-PG	10	2	0	0
sw-PF	0	13	44	45
sw-PD	7	11	0	0
sw-PN	120	91	98	103
sw-PO	0	3	0	0
Sdic4-PE	0	0	0	0
Sdic3-PE	0	0	0	0
Sdic3-PF	0	0	0	0
Sdic3-PG	0	0	0	0
Sdic2-PA	4	4	0	0
Sdic2-PB	0	0	0	0
Sdic2-PC	4	4	0	0
Sdic1-PA	0	0	0	0
Sdic1-PC	0	0	0	0
AnxB10-PA	0	123	0	171
AnxB10-PB	101	0	177	37
CG9581-PA	132	131	75	119
Phf7-PA	21	18	34	64
Phf7-PB	21	18	34	64
Phf7-PC	21	18	34	64
Rab35-PA	13	19	14	15
Rab35-PC	7	0	0	0
Rab35-PD	13	19	14	15
Rab35-PB	13	19	14	15
CG13014-PA	10	16	5	11
Nup153-PA	568	563	393	430
Nup153-PD	121	36	40	121
Nup153-PC	568	563	393	430
mbt-PA	165	170	110	120
CG9777-PA	3	8	13	7
CG9782-PA	5	3	2	0
CG9784-PA	24	33	23	25
CG9784-PC	0	0	0	0
CG9784-PB	24	33	23	25
SMC3-PA	699	736	503	845
Pp2B-14D-PA	36	28	20	20
Pp2B-14D-PC	36	28	20	20
Pp2B-14D-PB	36	28	20	20
Arp2-PA	108	138	82	64
Arp2-PB	108	138	82	64
Arp2-PC	77	88	0	85
CG9902-PA	56	57	33	44
CG9902-PB	56	57	33	44
CG9903-PA	2	4	2	5
CG10822-PA	0	0	0	1
CG12158-PA	0	0	1	0
CG12446-PA	1	1	0	0
hoe1-PB	0	12	4	25
hoe1-PF	0	12	4	25
hoe1-PD	0	12	4	25
hoe1-PE	0	12	4	25
hoe1-PA	201	156	425	326
hoe1-PC	0	0	0	5
hoe1-PH	0	0	49	119
hoe1-PI	0	12	4	25
hoe1-PJ	0	0	0	5
CG13443-PA	0	2	0	0
Or45a-PA	0	0	0	0
CG13739-PA	4	1	0	3
CG14762-PA	0	0	0	0
CG14762-PB	32	13	35	27
Dg-PB	293	240	85	140
Dg-PC	463	393	556	448
Dg-PA	0	0	0	0
Dg-PD	13	25	0	0
Br140-PA	84	100	50	81
Br140-PB	84	100	50	81
Optix-PA	0	0	0	0
Optix-PB	0	0	0	0
Optix-PC	0	0	0	0
CG1850-PA	8	2	3	8
CG2837-PA	4	1	3	6
CG2837-PB	4	1	3	6
CG2837-PC	4	1	3	6
CG2837-PD	4	1	3	6
betaggt-I-PA	117	169	50	0
betaggt-I-PB	11	0	49	154
Marcal1-PA	145	151	79	116
CG3756-PA	293	264	84	161
CG3792-PA	62	84	49	63
VGAT-PA	0	0	3	1
CG8405-PA	87	85	116	133
CG8405-PB	87	85	116	133
CG8654-PA	6	8	15	4
CG8654-PB	6	8	15	4
CG8654-PC	6	8	15	4
CG8654-PD	6	8	15	4
mRpL24-PA	192	254	114	136
Jon25Bii-PA	0	0	102	23
Jon25Bii-PB	0	0	102	23
Jon25Biii-PA	9	13	255	354
jet-PA	0	13	0	0
jet-PB	7	0	18	14
eIF3i-PA	868	950	361	570
Gmd-PA	161	204	80	137
CG8891-PA	187	237	66	163
CG8892-PC	22	25	14	16
CG8892-PB	22	25	14	16
CG8892-PE	22	25	14	16
CG8892-PD	22	25	14	16
CG14043-PA	194	220	177	174
CG3618-PA	62	58	50	88
CG3618-PB	62	58	50	88
mRpL28-PA	109	93	47	72
mRpL28-PB	109	93	47	72
endos-PA	30	22	16	25
endos-PB	30	22	16	25
endos-PC	30	22	16	25
endos-PD	30	22	16	25
endos-PE	30	22	16	25
endos-PF	30	22	16	25
Muc14A-PA	72	89	138	101
TBCC-PA	25	26	35	33
TBCC-PB	25	26	35	33
U3-55K-PA	607	781	175	362
CG33506-PA	132	138	82	94
ppk13-PA	1	0	6	3
CG33509-PA	0	9	95	58
CG33510-PB	0	2	11	0
CG33511-PB	42	59	176	86
dpr4-PB	0	0	0	0
Nmdar2-PA	0	0	0	1
Nmdar2-PB	0	0	0	1
Nmdar2-PC	0	0	0	0
Nmdar2-PD	0	0	0	1
Nmdar2-PE	0	0	0	0
Nmdar2-PF	0	0	0	0
Nmdar2-PG	0	0	0	0
CG33514-PA	5	30	35	30
dpr3-PB	0	0	0	0
dpr3-PC	0	0	0	0
dpr3-PD	0	0	0	0
Unc-89-PC	48	70	53	40
Unc-89-PD	0	0	0	0
Unc-89-PE	0	0	0	0
Unc-89-PF	54	0	0	0
Unc-89-PG	518	292	809	605
Unc-89-PH	92	61	99	174
CG33523-PD	0	0	0	0
CG33523-PB	0	0	0	0
CG33523-PC	49	66	13	22
CG33523-PA	63	42	56	68
CG33523-PF	87	105	132	108
CG33523-PE	0	0	0	2
SIFa-PB	0	0	0	0
Acp53C14c-PA	0	0	1	0
Acp53C14c-PB	0	0	1	0
Ddr-PD	1	0	4	2
Ddr-PF	0	1	1	0
Ddr-PG	0	1	1	0
lectin-37Da-PA	4	6	48	22
lectin-37Da-PB	4	6	48	22
lectin-37Db-PA	5	17	21	26
lectin-37Db-PB	5	17	21	26
upd3-PB	2	0	3	0
CG33543-PD	2	0	0	0
PNUTS-PB	80	101	96	97
PNUTS-PA	80	101	96	97
PNUTS-PD	112	73	66	80
PNUTS-PE	112	73	66	80
Rim-PQ	0	0	0	0
Rim-PR	0	0	0	0
Rim-PS	0	0	0	0
Rim-PT	0	0	0	0
Rim-PU	0	0	0	0
Rim-PV	0	0	0	0
Rim-PW	9	6	0	0
Rim-PX	0	0	0	0
Rim-PY	0	0	0	0
Rim-PZ	0	0	0	0
Rim-PAA	0	0	0	1
Rim-PP	0	0	0	0
Rim-PF	0	0	0	0
Rim-PK	0	0	0	0
CG13083-PB	2	1	0	0
dre4-PB	1308	1333	682	1202
dre4-PA	243	174	240	240
slpr-PA	220	211	137	159
slpr-PB	71	0	0	0
slpr-PC	220	211	137	159
slpr-PD	220	211	137	159
Rbp9-PC	7	0	21	12
Rbp9-PE	0	0	0	0
Rbp9-PB	7	0	21	12
Rbp9-PF	0	0	0	0
Rbp9-PG	0	0	0	0
Rbp9-PJ	307	234	475	707
Rbp9-PH	0	0	0	0
Rbp9-PI	7	0	21	12
Rbp9-PK	7	0	21	12
Sk2-PA	148	216	82	142
svr-PD	39	0	0	0
svr-PB	33	0	0	0
svr-PF	4	3	0	0
svr-PE	8	3	0	3
svr-PG	66	96	79	93
svr-PJ	8	3	0	3
svr-PH	79	103	131	196
svr-PI	0	0	78	0
svr-PL	4	3	0	0
svr-PM	33	0	0	0
svr-PN	66	96	79	93
Dad-PA	12	10	37	24
Dad-PB	12	10	37	24
Dad-PC	12	10	37	24
Proc-R-PA	11	10	7	13
Proc-R-PB	11	10	7	13
Proc-R-PC	11	10	7	13
Proc-R-PD	11	10	7	13
Proc-R-PE	11	10	7	13
kel-PA	0	0	0	0
kel-PB	398	435	363	462
MsR1-PA	15	4	4	4
MsR1-PB	0	0	0	0
Cyp28d1-PA	65	82	194	123
SmydA-8-PB	6	2	3	1
SmydA-8-PA	0	0	0	1
SmydA-8-PC	0	0	0	0
SmydA-8-PD	0	0	0	1
CG33552-PA	14	12	12	12
dpr1-PA	0	0	0	0
dpr1-PB	0	0	0	0
CG14300-PA	0	0	0	0
Nipped-A-PF	147	266	6	391
Nipped-A-PE	2141	1849	1558	1574
CG13376-PC	0	0	2	0
CG13376-PD	0	0	0	0
CG13376-PB	0	0	0	0
form3-PA	52	95	203	219
form3-PB	67	0	0	0
CG33557-PA	28	11	10	33
emc-PA	109	96	53	117
beat-Va-PB	0	0	0	0
beat-Va-PA	0	0	0	0
beat-Va-PC	0	0	0	0
CycJ-PB	0	10	13	0
CycJ-PA	163	169	54	146
ref(2)P-PA	396	312	380	453
ref(2)P-PB	396	312	380	453
eyg-PA	0	0	0	0
eyg-PB	0	0	0	0
eyg-PC	0	0	0	0
vn-PA	0	0	0	0
vn-PC	15	18	35	25
sinu-PA	13	13	25	21
slo-PB	0	0	0	0
slo-PC	0	0	0	0
slo-PA	0	0	0	0
slo-PD	0	0	19	6
slo-PE	0	0	0	0
slo-PF	0	0	0	0
slo-PH	0	0	0	0
slo-PI	0	0	0	0
slo-PJ	0	0	0	0
slo-PK	0	0	0	0
slo-PL	0	0	40	0
slo-PM	0	0	0	0
slo-PN	0	0	0	0
slo-PO	0	0	0	0
slo-PP	19	13	38	0
slo-PQ	0	0	0	0
slo-PR	0	0	0	0
slo-PS	0	0	0	0
slo-PT	0	24	24	20
slo-PU	0	4	0	9
slo-PV	0	0	0	36
slo-PW	20	0	0	26
slo-PX	0	0	0	0
B52-PA	131	142	61	95
B52-PB	87	0	0	0
B52-PF	0	0	0	9
B52-PD	4	31	30	5
B52-PC	131	142	61	95
B52-PI	4	31	30	5
B52-PK	0	0	0	9
B52-PM	0	0	0	0
B52-PN	131	142	61	95
B52-PO	0	0	0	0
orb-PA	1231	1492	364	768
orb-PC	0	2	0	0
orb-PB	7	0	0	0
orb-PD	7	0	0	0
orb-PE	0	2	0	0
orb-PF	0	2	0	0
orb-PG	1231	1492	364	768
osk-PC	0	0	15	0
osk-PA	6709	7511	758	2161
osk-PD	5	0	0	0
sv-PA	0	0	0	0
sv-PC	0	0	0	0
sv-PD	0	0	0	0
sv-PF	0	0	0	4
sv-PG	2	8	2	3
sv-PH	0	0	0	0
sv-PI	0	0	0	0
sPLA2-PB	3	2	12	9
sPLA2-PA	5	3	2	4
sPLA2-PC	5	3	2	4
CG11155-PA	197	211	357	387
CG11155-PB	67	46	167	102
CG11155-PD	197	211	357	387
jim-PC	0	0	0	0
jim-PD	0	0	0	0
jim-PF	79	55	94	80
jim-PG	1	0	0	0
jim-PH	0	0	0	0
jim-PI	13	0	0	0
jim-PE	48	42	34	50
CG11406-PA	0	0	0	0
CG11406-PB	0	0	0	0
CG11406-PC	0	0	0	0
CG11406-PD	0	0	0	0
MstProx-PA	0	0	0	0
armi-PB	1272	1443	1011	1751
armi-PC	0	0	0	0
armi-PD	1272	1443	1011	1751
CG1161-PA	117	84	152	128
CG1161-PC	15	41	24	53
7B2-PA	1	1	0	4
7B2-PB	0	0	0	0
mle-PA	272	262	95	238
mle-PC	24	22	71	45
mud-PK	21	267	102	308
mud-PL	378	306	0	219
mud-PF	345	331	182	74
mud-PG	0	0	0	0
mud-PH	8	0	0	10
mud-PI	716	408	113	409
mud-PJ	0	0	295	1
oc-PC	0	0	0	0
oc-PF	0	0	0	0
oc-PG	0	0	0	0
oc-PD	0	0	0	0
oc-PE	0	1	0	0
AQP-PA	0	0	0	0
AQP-PB	8	4	12	2
polo-PA	321	320	166	268
polo-PB	321	320	166	268
ChAT-PB	0	1	0	0
ChAT-PA	0	0	0	0
l(3)mbn-PB	0	0	7	7
l(3)mbn-PD	10	0	2	0
l(3)mbn-PE	0	0	0	0
Gr47a-PB	2	5	3	0
zfh1-PE	83	49	96	37
zfh1-PA	0	14	58	1
zfh1-PB	0	0	6	44
CG1360-PA	77	89	19	20
tll-PA	0	0	0	0
qtc-PB	0	0	0	0
qtc-PA	43	54	0	45
qtc-PF	43	54	0	45
qtc-PG	0	0	0	0
qtc-PE	67	67	94	88
qtc-PH	0	0	6	34
qtc-PM	13	9	17	0
qtc-PN	35	71	71	61
qtc-PI	25	0	0	11
qtc-PJ	8	8	0	0
qtc-PK	21	54	0	27
qtc-PL	45	0	0	26
Epg5-PD	36	0	0	0
Epg5-PC	445	388	398	424
zfh2-PB	30	0	70	50
zfh2-PA	14	29	33	24
zfh2-PC	12	20	37	16
ey-PB	0	0	0	1
ey-PA	4	3	5	0
ey-PC	0	0	0	0
ey-PD	0	0	0	0
CG14667-PB	110	98	78	83
unc-PA	26	14	16	27
unc-PB	26	14	16	27
Ac3-PA	11	14	12	26
Ac3-PC	6	0	0	1
CkIIbeta-PB	3	3	5	3
CkIIbeta-PE	271	254	118	285
CkIIbeta-PF	3	3	5	3
CkIIbeta-PC	3	3	5	3
CkIIbeta-PD	3	3	5	3
CkIIbeta-PG	3	3	5	3
CkIIbeta-PK	35	48	0	0
CkIIbeta-PH	3	3	5	3
CkIIbeta-PI	0	0	0	0
CkIIbeta-PJ	131	119	85	75
tra-PA	54	42	84	67
tra-PB	0	0	0	0
lectin-30A-PA	0	0	0	0
jhamt-PA	0	0	0	1
jhamt-PB	0	0	0	1
bw-PA	6	1	2	1
bw-PD	6	1	2	1
Med-PB	0	0	1	0
Med-PA	39	41	23	47
Med-PC	39	41	23	47
14-3-3zeta-PD	218	271	332	455
14-3-3zeta-PE	218	271	332	455
14-3-3zeta-PB	83	89	0	1
14-3-3zeta-PF	117	68	150	131
14-3-3zeta-PH	83	89	0	1
14-3-3zeta-PC	117	68	150	131
14-3-3zeta-PG	83	89	0	1
14-3-3zeta-PA	83	89	0	1
14-3-3zeta-PI	83	89	0	1
14-3-3zeta-PJ	218	271	332	455
14-3-3zeta-PK	218	271	332	455
14-3-3zeta-PL	218	271	332	455
mav-PA	264	230	414	372
dj-PA	0	0	0	0
dj-PB	0	0	0	0
dj-PC	0	0	0	0
Ptp99A-PA	0	0	0	0
Ptp99A-PC	0	0	0	0
Ptp99A-PB	24	16	0	21
Ptp99A-PF	22	19	46	31
Ptp99A-PG	110	91	140	126
hig-PB	0	0	0	0
hig-PA	0	0	0	0
hig-PC	8	0	3	8
hig-PD	0	0	0	0
dec-1-PC	24	67	94	75
dec-1-PA	16	41	13	223
dec-1-PB	23	79	11	512
dec-1-PE	94	28	677	295
dec-1-PF	0	0	0	373
dec-1-PG	44	19	291	146
lectin-21Ca-PA	3	1	4	1
HIP-R-PA	5	98	89	86
HIP-R-PB	5	98	89	86
HIP-R-PD	5	98	89	86
CG30048-PC	0	0	0	0
CG30048-PD	0	0	0	0
Mhcl-PF	14	29	51	77
Mhcl-PG	81	168	4	81
Mhcl-PD	50	100	50	196
Mhcl-PA	0	2	0	0
Mhcl-PB	204	125	382	243
Mhcl-PC	68	0	25	48
Mhcl-PH	2	0	20	62
Mhcl-PI	72	45	429	176
ewg-PH	44	16	43	8
ewg-PA	15	0	0	0
ewg-PB	0	167	68	112
ewg-PC	15	0	0	0
ewg-PD	9	0	0	19
ewg-PE	0	0	0	0
ewg-PF	36	15	0	11
ewg-PG	0	84	10	0
ewg-PL	0	0	0	43
ewg-PM	221	105	94	52
ewg-PN	0	0	0	0
ewg-PJ	85	115	43	139
ewg-PK	34	1	0	0
CG31266-PB	9	30	118	60
Muc96D-PA	11	6	64	14
ade3-PA	299	337	161	237
ade3-PB	299	417	164	243
ade3-PC	299	337	161	237
Eip74EF-PA	0	8	0	0
Eip74EF-PC	34	20	33	33
Eip74EF-PB	3	4	2	2
Eip74EF-PD	3	4	2	2
Eip74EF-PE	0	0	10	6
CG32333-PA	8	4	1	1
CG32333-PB	0	0	0	0
CG32333-PC	0	0	0	0
cpx-PJ	0	0	0	0
cpx-PK	0	0	0	0
cpx-PI	0	0	0	0
cpx-PC	0	0	0	0
cpx-PA	0	0	0	0
cpx-PE	4	0	0	0
cpx-PG	0	0	0	0
cpx-PH	0	0	0	0
cpx-PL	0	7	0	1
cpx-PM	0	0	0	0
cpx-PO	0	0	0	0
cpx-PP	0	0	0	0
cpx-PS	0	0	0	0
cpx-PU	1	0	0	0
cpx-PV	0	0	0	0
cpx-PW	0	0	0	0
cpx-PX	0	0	0	0
cpx-PY	1	0	0	0
cpx-PZ	0	0	0	0
cpx-PAA	2	0	0	0
cpx-PAB	6	0	28	34
CG32576-PA	23	0	8	15
CG32576-PB	24	41	14	26
Muc12Ea-PA	2	3	0	1
CG33111-PC	5	10	27	11
CG33111-PB	5	10	27	11
CG33111-PA	5	10	27	11
CG33111-PD	0	0	9	20
CG33111-PE	104	133	89	64
CCAP-R-PC	2	0	0	0
mim-PE	0	0	0	51
mim-PF	0	0	25	0
mim-PG	0	0	0	0
mim-PB	143	128	53	172
mim-PC	27	20	43	0
mim-PD	0	0	0	0
mim-PH	0	65	53	1
mim-PI	9	0	0	64
mim-PJ	0	0	0	0
mim-PK	19	0	12	5
mim-PL	11	0	38	0
mim-PM	0	0	0	0
mim-PN	0	0	0	0
gsb-PA	0	0	0	0
cher-PB	0	0	0	0
cher-PA	0	0	0	0
cher-PI	741	829	1862	2081
cher-PK	0	0	0	0
cher-PF	12	9	4	22
cher-PG	0	0	0	0
cher-PH	0	0	0	0
cher-PL	0	0	0	0
cher-PM	64	121	233	212
cher-PN	54	0	26	19
CycE-PC	62	57	49	64
CycE-PA	62	57	49	64
CycE-PE	62	57	49	64
CycE-PD	62	57	49	64
CycE-PB	0	0	0	0
CycE-PF	0	0	0	0
Syn-PE	0	0	0	0
Syn-PA	100	64	185	164
Syn-PF	14	22	26	47
Syn-PD	0	0	0	0
Act5C-PB	407	534	741	883
Act5C-PA	407	534	741	883
Act5C-PC	407	534	741	883
Act5C-PD	407	534	741	883
Act5C-PE	407	534	741	883
CG4049-PA	177	185	127	206
Naa35-PA	248	209	23	169
Naa35-PB	0	0	107	0
pug-PB	90	103	240	212
pug-PA	0	0	0	0
pug-PC	0	0	0	0
pug-PD	90	103	240	212
pug-PE	10	19	25	0
CG14683-PA	685	738	313	473
Gyc88E-PD	9	0	0	0
Gyc88E-PE	9	0	0	0
Gyc88E-PF	0	2	12	14
nonA-PB	130	79	69	125
nonA-PA	11	5	17	0
nonA-PC	0	11	0	0
nonA-PD	11	5	17	0
spel1-PA	70	71	33	46
spel1-PE	70	71	33	46
spel1-PF	70	71	33	46
spel1-PD	70	71	33	46
Stat92E-PE	50	177	0	10
Stat92E-PF	129	75	0	16
Stat92E-PC	50	177	0	10
Stat92E-PB	18	22	3	87
Stat92E-PG	60	8	74	148
Stat92E-PH	60	8	74	148
Stat92E-PI	38	52	152	18
Stat92E-PJ	66	39	36	218
Stat92E-PK	159	18	359	322
Stat92E-PL	38	52	152	18
Stat92E-PM	129	75	0	16
FucTB-PA	20	26	9	16
FucTB-PC	16	4	10	13
FucTB-PD	20	26	9	16
bnl-PA	42	45	102	71
bnl-PC	0	0	0	0
bnl-PD	0	0	0	0
CG4630-PA	5	0	3	11
CG4630-PB	0	7	0	0
CG4646-PA	19	39	14	24
CG4646-PB	19	39	14	24
